repository,relative_path,source_location,source_role,bytes,nonblank_loc,sha256
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/infrastructure/configuration/DatabaseConfiguration.java,src,application/query source,714,19,1a826aad4f9bd3653df7852d18b5adceb53afffeb6f072a8b8727e06a61fab9a
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/infrastructure/jackson/JsonSerializer.java,src,application/query source,267,9,32830d64301a2f3ee4cd8afd0c0834734e4b978e2cfaa967e3b170907ca2f5cc
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/infrastructure/jackson/SimpleJsonSerializer.java,src,application/query source,936,27,0da4e485e9be33ed4d6ff66c51921d356a76cee121afb6f008099a85d7d88194
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/infrastructure/media/action/DeleteMediaActionImpl.java,src,application/query source,790,22,8616d36347e43dfef837a1662ddc116bbfe3738cb8618e5bef46d3bcd4700259
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/infrastructure/media/action/JooqAddMediaAction.java,src,application/query source,1116,30,3c874aa5a9d9630934f32bdb965a1cccadd89ae8b3ee71aa4a6ac853259ae3a6
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/infrastructure/media/finder/JooqMediaFinder.java,src,application/query source,2502,66,536924e28388d9c5f24889b9ded6385917466f0193a709e18320961a1a3c9d86
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/infrastructure/media/finder/MediaFinder.java,src,application/query source,529,13,57c810a0d46d44a13b6635f758fc0fbfd3d5383ffd11ecdf7c94ec07c6136ec5
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/infrastructure/media/mapper/JooqMediaMapper.java,src,application/query source,759,18,f94673c5982747ecf26f1b2424fb01c6142e77c22937347b548352b4956fc86b
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/infrastructure/media/mapper/MediaResponseMapper.java,src,application/query source,1280,35,31cbeb37ee0bec780c17ea2e885df92e64e035464c3449b8937ee53646a05ca2
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/infrastructure/security/SecurityUtils.java,src,application/query source,1112,27,670e1d06ddb4f3e39cc1e0181282700ccc886528efacd7c8a7f42c35c376ecff
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/infrastructure/security/permissions/finder/JooqPermissionFinder.java,src,application/query source,12199,293,6fe5784f7608185f98ad6edd8635e212bda4f32a7dc8e514da96e15c7782c9e6
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/infrastructure/security/permissions/mapper/JooqPermissionMapper.java,src,application/query source,975,23,524a53df42a1d89de84c4355505c29b8ebe9259884f8e598456aa4658ce7f78b
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/infrastructure/security/permissions/mapper/JooqRoleMapper.java,src,application/query source,593,15,c9d36d5df2201827cb4c5e560bf1211ccb6faf90264b9f52d7998577d341ba45
